t_s,q_deg,dq_deg_s,omega_rad_s,I_cmd_A,I_meas_A,adc,F_N,tau_Nm,mode
25979.634268698,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25979.638258311,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.642193522,0.0,0.0,0.0,0.0,-26,0,0.0,0.0,RETURN
25979.646259132,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.650269829,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.65425836,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.658265745,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.662154739,0.0,0.0,0.0,0.0,16,0,0.0,0.0,RETURN
25979.666153414,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.670189861,0.0,0.0,0.0,0.0,5,0,0.0,0.0,RETURN
25979.674155952,0.0,0.0,0.0,0.0,-22,0,0.0,0.0,RETURN
25979.678202499,0.0,0.0,0.0,0.0,-4,0,0.0,0.0,RETURN
25979.682200104,0.0,0.0,0.0,0.0,9,0,0.0,0.0,RETURN
25979.686196381,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25979.690187918,0.0,0.0,0.0,0.0,-11,0,0.0,0.0,RETURN
25979.694190957,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25979.698158783,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.702156659,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.706259237,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.710257757,0.0,0.0,0.0,0.0,7,0,0.0,0.0,RETURN
25979.714153803,0.0,0.0,0.0,0.0,8,0,0.0,0.0,RETURN
25979.718154414,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.722153374,0.0,0.0,0.0,0.0,-1,0,0.0,0.0,RETURN
25979.726153907,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25979.730154158,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.734153254,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.738155222,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.742153836,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.74615229,0.0,0.0,0.0,0.0,-18,0,0.0,0.0,RETURN
25979.750191491,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.754185252,0.0,0.0,0.0,0.0,-20,0,0.0,0.0,RETURN
25979.758246586,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.762206689,0.0,0.0,0.0,0.0,-18,0,0.0,0.0,RETURN
25979.766205642,0.0,0.0,0.0,0.0,-2,0,0.0,0.0,RETURN
25979.770192966,0.0,0.0,0.0,0.0,-17,0,0.0,0.0,RETURN
