
t_s,q_deg,dq_deg_s,omega_rad_s,I_cmd_A,I_meas_A,emg_phase,emg_raw,emg_ac,emg_rect,emg_env,emg_env_f,mode
5615.645297552,0.02197265625,0.0,0.0,-0.06591796875,-2,NA,0,0,0,0.0,0.0,RELAX
5615.64929802,0.02197265625,0.0,0.0,-0.06591796875,-10,NA,0,0,0,0.0,0.0,RELAX
5615.653296008,0.02197265625,0.0,0.0,-0.06591796875,-10,NA,0,0,0,0.0,0.0,RELAX
5615.657294438,0.02197265625,0.0,0.0,-0.06591796875,-6,NA,0,0,0,0.0,0.0,RELAX
5615.661325494,0.02197265625,0.0,0.0,-0.06591796875,11,NA,0,0,0,0.0,0.0,RELAX
5615.665293771,0.02197265625,0.0,0.0,-0.06591796875,14,NA,0,0,0,0.0,0.0,RELAX
5615.669293703,0.02197265625,0.0,0.0,-0.06591796875,-6,NA,0,0,0,0.0,0.0,RELAX
5615.67329448,0.02197265625,0.0,0.0,-0.06591796875,-5,NA,0,0,0,0.0,0.0,RELAX
5615.677398742,0.02197265625,0.0,0.0,-0.06591796875,2,NA,0,0,0,0.0,0.0,RELAX
5615.681430997,0.02197265625,0.0,0.0,-0.06591796875,-12,NA,0,0,0,0.0,0.0,RELAX
5615.685296962,0.02197265625,0.0,0.0,-0.06591796875,-10,NA,0,0,0,0.0,0.0,RELAX
5615.689297383,0.02197265625,0.0,0.0,-0.06591796875,13,NA,0,0,0,0.0,0.0,RELAX
5615.693300684,0.02197265625,0.0,0.0,-0.06591796875,-17,NA,0,0,0,0.0,0.0,RELAX
5615.697301285,0.02197265625,0.0,0.0,-0.06591796875,-13,NA,0,0,0,0.0,0.0,RELAX
5615.701297189,0.02197265625,0.0,0.0,-0.06591796875,13,NA,0,0,0,0.0,0.0,RELAX
5615.705296624,0.02197265625,0.0,0.0,-0.06591796875,4,NA,0,0,0,0.0,0.0,RELAX
5615.709296239,0.02197265625,0.0,0.0,-0.06591796875,-3,NA,0,0,0,0.0,0.0,RELAX
5615.713297318,0.02197265625,0.0,0.0,-0.06591796875,-22,NA,0,0,0,0.0,0.0,RELAX
5615.71730233,0.02197265625,0.0,0.0,-0.06591796875,-8,NA,0,0,0,0.0,0.0,RELAX
5615.721352326,0.02197265625,0.0,0.0,-0.06591796875,12,NA,0,0,0,0.0,0.0,RELAX
5615.725303722,0.02197265625,0.0,0.0,-0.06591796875,-1,NA,0,0,0,0.0,0.0,RELAX
5615.729340499,0.02197265625,0.0,0.0,-0.06591796875,12,NA,0,0,0,0.0,0.0,RELAX
5615.733332724,0.02197265625,0.0,0.0,-0.06591796875,17,NA,0,0,0,0.0,0.0,RELAX
5615.737333461,0.02197265625,0.0,0.0,-0.06591796875,15,NA,0,0,0,0.0,0.0,RELAX
5615.741337513,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
5615.745332458,0.02197265625,0.0,0.0,-0.06591796875,-3,NA,0,0,0,0.0,0.0,RELAX
5615.749331524,0.02197265625,0.0,0.0,-0.06591796875,-11,NA,0,0,0,0.0,0.0,RELAX
5615.753331275,0.02197265625,0.0,0.0,-0.06591796875,0,NA,0,0,0,0.0,0.0,RELAX
5615.757296478,0.02197265625,0.0,0.0,-0.06591796875,15,NA,0,0,0,0.0,0.0,RELAX
5615.761338034,0.02197265625,0.0,0.0,-0.06591796875,-6,NA,0,0,0,0.0,0.0,RELAX
5615.765342361,0.02197265625,0.0,0.0,-0.06591796875,-14,NA,0,0,0,0.0,0.0,RELAX
5615.769348554,0.02197265625,0.0,0.0,-0.06591796875,-7,NA,0,0,0,0.0,0.0,RELAX
5615.773340854,0.02197265625,0.0,0.0,-0.06591796875,24,NA,0,0,0,0.0,0.0,RELAX
5615.777330316,0.02197265625,0.0,0.0,-0.06591796875,-3,NA,0,0,0,0.0,0.0,RELAX
5615.781296965,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
5615.785332449,0.02197265625,0.0,0.0,-0.06591796875,-8,NA,0,0,0,0.0,0.0,RELAX
5615.789331593,0.02197265625,0.0,0.0,-0.06591796875,9,NA,0,0,0,0.0,0.0,RELAX
5615.793334632,0.02197265625,0.0,0.0,-0.06591796875,25,NA,0,0,0,0.0,0.0,RELAX
5615.797295815,0.02197265625,0.0,0.0,-0.06591796875,25,NA,0,0,0,0.0,0.0,RELAX
5615.80129903,0.02197265625,0.0,0.0,-0.06591796875,16,NA,0,0,0,0.0,0.0,RELAX
5615.805387372,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
5615.809339082,0.02197265625,0.0,0.0,-0.06591796875,2,NA,0,0,0,0.0,0.0,RELAX
5615.813338075,0.02197265625,0.0,0.0,-0.06591796875,7,NA,0,0,0,0.0,0.0,RELAX
5615.817338529,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
5615.821338818,0.02197265625,0.0,0.0,-0.06591796875,-5,NA,0,0,0,0.0,0.0,RELAX
5615.825300676,0.02197265625,0.0,0.0,-0.06591796875,-11,NA,0,0,0,0.0,0.0,RELAX
5615.829346687,0.02197265625,0.0,0.0,-0.06591796875,-12,NA,0,0,0,0.0,0.0,RELAX
5615.833301172,0.02197265625,0.0,0.0,-0.06591796875,-12,NA,0,0,0,0.0,0.0,RELAX
5615.837298479,0.02197265625,0.0,0.0,-0.06591796875,13,NA,0,0,0,0.0,0.0,RELAX
5615.841303817,0.02197265625,0.0,0.0,-0.06591796875,-5,NA,0,0,0,0.0,0.0,RELAX
5615.845302526,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
5615.849365645,0.02197265625,0.0,0.0,-0.06591796875,-9,NA,0,0,0,0.0,0.0,RELAX
5615.853336123,0.02197265625,0.0,0.0,-0.06591796875,-2,NA,0,0,0,0.0,0.0,RELAX
5615.857332085,0.02197265625,0.0,0.0,-0.06591796875,13,NA,0,0,0,0.0,0.0,RELAX
5615.861300919,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
5615.865297677,0.02197265625,0.0,0.0,-0.06591796875,-5,NA,0,0,0,0.0,0.0,RELAX
5615.869297569,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
5615.873297103,0.02197265625,0.0,0.0,-0.06591796875,-14,NA,0,0,0,0.0,0.0,RELAX
5615.877385329,0.02197265625,0.0,0.0,-0.06591796875,-7,NA,0,0,0,0.0,0.0,RELAX
5615.88133644,0.02197265625,0.0,0.0,-0.06591796875,11,NA,0,0,0,0.0,0.0,RELAX
5615.885301499,0.02197265625,0.0,0.0,-0.06591796875,-5,NA,0,0,0,0.0,0.0,RELAX
5615.889299008,0.02197265625,0.0,0.0,-0.06591796875,25,NA,0,0,0,0.0,0.0,RELAX
5615.893351275,0.02197265625,0.0,0.0,-0.06591796875,13,NA,0,0,0,0.0,0.0,RELAX
5615.897338711,0.02197265625,0.0,0.0,-0.06591796875,3,NA,0,0,0,0.0,0.0,RELAX
5615.901342043,0.02197265625,0.0,0.0,-0.06591796875,-7,NA,0,0,0,0.0,0.0,RELAX
5615.905301857,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
5615.90934653,0.02197265625,0.0,0.0,-0.06591796875,-14,NA,0,0,0,0.0,0.0,RELAX
5615.913343138,0.02197265625,0.0,0.0,-0.06591796875,-3,NA,0,0,0,0.0,0.0,RELAX
5615.91730279,0.02197265625,0.0,0.0,-0.06591796875,15,NA,0,0,0,0.0,0.0,RELAX
5615.921338536,0.02197265625,0.0,0.0,-0.06591796875,13,NA,0,0,0,0.0,0.0,RELAX
5615.925401302,0.02197265625,0.0,0.0,-0.06591796875,2,NA,0,0,0,0.0,0.0,RELAX
5615.929301549,0.02197265625,0.0,0.0,-0.06591796875,-3,NA,0,0,0,0.0,0.0,RELAX
5615.93333887,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
5615.937343386,0.02197265625,0.0,0.0,-0.06591796875,-16,NA,0,0,0,0.0,0.0,RELAX
5615.941358433,0.02197265625,0.0,0.0,-0.06591796875,-2,NA,0,0,0,0.0,0.0,RELAX
5615.945302344,0.02197265625,0.0,0.0,-0.06591796875,-12,NA,0,0,0,0.0,0.0,RELAX
5615.949358945,0.02197265625,0.0,0.0,-0.06591796875,7,NA,0,0,0,0.0,0.0,RELAX
5615.953357894,0.02197265625,0.0,0.0,-0.06591796875,-1,NA,0,0,0,0.0,0.0,RELAX
5615.957300978,0.02197265625,0.0,0.0,-0.06591796875,20,NA,0,0,0,0.0,0.0,RELAX
5615.96130624,0.02197265625,0.0,0.0,-0.06591796875,3,NA,0,0,0,0.0,0.0,RELAX
5615.965302413,0.02197265625,0.0,0.0,-0.06591796875,-6,NA,0,0,0,0.0,0.0,RELAX
5615.969343383,0.02197265625,0.0,0.0,-0.06591796875,6,NA,0,0,0,0.0,0.0,RELAX
5615.973328105,0.02197265625,0.0,0.0,-0.06591796875,-11,NA,0,0,0,0.0,0.0,RELAX
5615.977335683,0.02197265625,0.0,0.0,-0.06591796875,-13,NA,0,0,0,0.0,0.0,RELAX
5615.981335591,0.02197265625,0.0,0.0,-0.06591796875,12,NA,0,0,0,0.0,0.0,RELAX
5615.985334437,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
5615.989338624,0.02197265625,0.0,0.0,-0.06591796875,-8,NA,0,0,0,0.0,0.0,RELAX
5615.993341124,0.02197265625,0.0,0.0,-0.06591796875,-2,NA,0,0,0,0.0,0.0,RELAX
5615.997337551,0.02197265625,0.0,0.0,-0.06591796875,6,NA,0,0,0,0.0,0.0,RELAX
5616.001345126,0.02197265625,0.0,0.0,-0.06591796875,-2,NA,0,0,0,0.0,0.0,RELAX
5616.005343564,0.02197265625,0.0,0.0,-0.06591796875,-9,NA,0,0,0,0.0,0.0,RELAX
5616.009361077,0.02197265625,0.0,0.0,-0.06591796875,-3,NA,0,0,0,0.0,0.0,RELAX
5616.013338717,0.02197265625,0.0,0.0,-0.06591796875,15,NA,0,0,0,0.0,0.0,RELAX
5616.017352029,0.02197265625,0.0,0.0,-0.06591796875,-2,NA,0,0,0,0.0,0.0,RELAX
5616.021335086,0.02197265625,0.0,0.0,-0.06591796875,3,NA,0,0,0,0.0,0.0,RELAX
5616.02533986,0.02197265625,0.0,0.0,-0.06591796875,-3,NA,0,0,0,0.0,0.0,RELAX
5616.0293378,0.02197265625,0.0,0.0,-0.06591796875,-11,NA,0,0,0,0.0,0.0,RELAX
5616.033355688,0.02197265625,0.0,0.0,-0.06591796875,-3,NA,0,0,0,0.0,0.0,RELAX
5616.037342047,0.02197265625,0.0,0.0,-0.06591796875,2,NA,0,0,0,0.0,0.0,RELAX
5616.041354022,0.02197265625,0.0,0.0,-0.06591796875,13,NA,0,0,0,0.0,0.0,RELAX
5616.045305635,0.02197265625,0.0,0.0,-0.06591796875,17,NA,0,0,0,0.0,0.0,RELAX
5616.049395895,0.02197265625,0.0,0.0,-0.06591796875,-3,NA,0,0,0,0.0,0.0,RELAX
5616.053408969,0.02197265625,0.0,0.0,-0.06591796875,11,NA,0,0,0,0.0,0.0,RELAX
5616.057298336,0.02197265625,0.0,0.0,-0.06591796875,8,NA,0,0,0,0.0,0.0,RELAX
5616.061297467,0.02197265625,0.0,0.0,-0.06591796875,-20,NA,0,0,0,0.0,0.0,RELAX
5616.065396941,0.02197265625,0.0,0.0,-0.06591796875,-19,NA,0,0,0,0.0,0.0,RELAX
5616.069399865,0.02197265625,0.0,0.0,-0.06591796875,2,NA,0,0,0,0.0,0.0,RELAX
5616.073405342,0.02197265625,0.0,0.0,-0.06591796875,7,NA,0,0,0,0.0,0.0,RELAX
